column_name;data_type
Identificatie;varchar
Meetobject.Namespace;varchar
Namespace;varchar
Begindatum;date
Resultaatdatum;date
Eenheid.code;varchar
GeometriePunt.X_RD;decimal
GeometriePunt.Y_RD;decimal
Meetobject.lokaalID;varchar
GeoObject.lokaalID;varchar
Orgaan.code;varchar
Organisme.naam;varchar
BeginDiepte_m;decimal
EindDiepte_m;decimal
Referentievlak.code;varchar
Monsterbewerkingsmethode.codespace;varchar
Bemonsteringsmethode.codespace;varchar
Bemonsteringsapparaat.codespace;varchar
Tijd_UTCoffset;varchar
GerelateerdMonsterobjectRol.id;varchar
Referentiehorizontaal.code;varchar
Typering.code;varchar
Grootheid.code;varchar
Parameter.code;varchar
Biotaxon.naam;varchar
Numeriekewaarde;integer
Alfanumeriekewaarde;varchar
Waardebewerkingsmethode.codespace;varchar
Waardepalingsmethode.codespace;varchar
GerelateerdObservatieobjectRol.id;varchar
Meetapparaat.codespace;varchar
Meetinstantie.codespace;varchar
Monstertype.id;varchar
MonsterCompartiment.code;varchar
Monsterbewerkingsmethode.code;varchar
Bemonsteringsmethode.code;varchar
Bemonsteringssoort.code;varchar
Monstercriterium.code;varchar
Bemonsteringsapparaat.omschrijving;varchar
Monsterophaaldatum;date
Monsterophaaltijd;varchar
GerelateerdMonsterobject;varchar
GeometriePunt.X;decimal
GeometriePunt.Y;decimal
Monster.Opmerking;varchar
Meetwaarde.lokaalID;varchar
Begintijd;varchar
Einddatum;date
Eindtijd;varchar
Resultaattijd;varchar
Hoedanigheid.code;varchar
AnalyseCompartiment.code;varchar
Levensstadium.code;varchar
Lengteklasse.code;varchar
Geslacht.code;varchar
Verschijningsvorm.code;varchar
Levensvorm.code;varchar
Gedrag.code;varchar
Limietsymbool;varchar
Waardebewerkingsmethode.code;varchar
Waardebepalingsmethode.code;varchar
Waardebepalingstechniek.code;varchar
Kwaliteitsoordeel.code;integer
GerelateerdObservatieobject;varchar
Meetapparaat.code;varchar
Meetinstantie.code;varchar
LocatieTypeWaardeBepaling.id;varchar
Volgnummer;varchar
MeetwaardeOpmerking;varchar
Recovery;varchar
Spread;varchar
MeasurementUncertainty;varchar
Z_score;varchar
Drift;varchar
AutomatedControl.code;varchar
ExpertControl.code;varchar
ValidationScore.code;varchar
Versie;varchar
Omschrijving;varchar
Plaatsbepaling.code;varchar
Plaatsbepaling.codespace;varchar
MeetobjectSoort.code;varchar
GerelateerdMeetobject;varchar
GerelateerdMeetobjectRol.id;varchar
geometrie;varchar
AphiaID;integer
AphiaID_accepted;integer
ScientificName_accepted;varchar
