UTC,VARINF_1322_Q,VARINF_1361_Q,VARINF_1381_Q,VARINF_139_Q,VARINF_545_Q,RSV_3_V_min,RSV_3_V_max,RSV_47_V_min,RSV_47_V_max,RSV_565_V_min,RSV_565_V_max
2010-01-01 00:00:00,1.716746528,0.663381944,0,3.837041667,4.970740741,800000,1200000,900000,1100000,700000,1300000
2010-01-31 09:50:24,3.433493056,0.663381944,0,5.7555625,4.970740741,800000,1200000,900000,1100000,700000,1300000
2010-03-02 19:40:48,1.716746528,0.663381944,0,3.837041667,4.970740741,800000,1200000,900000,1100000,700000,1300000
2010-04-02 05:31:12,5.150239583,0.995072917,0,7.674083333,9.941481481,800000,1200000,900000,1100000,700000,1300000
2010-05-02 15:21:36,8.583732639,1.990145833,0,13.42964583,14.91222222,800000,1200000,900000,1100000,700000,1300000
2010-06-02 01:12:00,13.73397222,2.653527778,112.0019815,19.18520833,22.36833333,800000,1200000,900000,1100000,700000,1300000
2010-07-02 11:02:24,137.3397222,25.20851389,262.7738796,226.3854583,134.21,800000,1200000,900000,1100000,700000,1300000
2010-08-01 20:52:48,238.6277674,43.78320833,215.3884259,397.1338125,233.6248148,800000,1200000,900000,1100000,700000,1300000
2010-09-01 06:43:12,121.8890035,26.53527778,85.07842824,184.178,221.197963,800000,1200000,900000,1100000,700000,1300000
2010-10-01 16:33:36,36.05167708,7.628892361,0,53.71858333,62.13425926,800000,1200000,900000,1100000,700000,1300000
2010-11-01 02:24:00,6.866986111,1.658454861,0,11.511125,12.42685185,800000,1200000,900000,1100000,700000,1300000
2010-12-01 12:14:24,6.866986111,1.658454861,0,11.511125,12.42685185,800000,1200000,900000,1100000,700000,1300000
2010-12-31 22:04:48,6.866986111,1.326763889,0,9.592604167,12.42685185,800000,1200000,900000,1100000,700000,1300000
2011-01-31 07:55:12,10.30047917,1.990145833,0,15.34816667,17.39759259,800000,1200000,900000,1100000,700000,1300000
2011-03-02 17:45:36,6.866986111,1.326763889,0,9.592604167,12.42685185,800000,1200000,900000,1100000,700000,1300000
2011-04-02 03:36:00,15.45071875,3.316909722,0,23.02225,27.33907407,800000,1200000,900000,1100000,700000,1300000
2011-05-02 13:26:24,25.75119792,5.638746528,0,40.2889375,44.73666667,800000,1200000,900000,1100000,700000,1300000
2011-06-01 23:16:48,37.76842361,7.960583333,15.07718981,57.555625,67.105,800000,1200000,900000,1100000,700000,1300000
2011-07-02 09:07:12,369.1005035,67.66495833,14.00024769,608.1711042,362.8640741,800000,1200000,900000,1100000,700000,1300000
2011-08-01 18:57:36,449.7875903,82.59105208,0,750.1416458,442.3959259,800000,1200000,900000,1100000,700000,1300000
2011-09-01 04:48:00,228.3272882,49.75364583,0,347.2522708,417.5422222,800000,1200000,900000,1100000,700000,1300000
2011-10-01 14:38:24,49.78564931,10.61411111,0,74.8223125,86.98796296,800000,1200000,900000,1100000,700000,1300000
2011-11-01 00:28:48,20.60095833,4.643673611,0,32.61485417,37.28055556,800000,1200000,900000,1100000,700000,1300000
2011-12-01 10:19:12,22.31770486,4.643673611,0,32.61485417,37.28055556,800000,1200000,900000,1100000,700000,1300000
2011-12-31 20:09:36,3.433493056,0.995072917,0,5.7555625,7.456111111,800000,1200000,900000,1100000,700000,1300000
