"Cijfercode";"Omschrijving";"Code"
"30";"Afvalwater";"AW"
"109";"Bouwstof";"BF"
"40";"Bodem/Sediment";"BS"
"90";"Chemische hulpstoffen";"CH"
"103";"Drijflaag";"DL"
"18";"Drinkwater";"DW"
"15";"Grondwater";"GW"
"35";"Hemelwater";"HW"
"72";"Klinkhout";"KH"
"73";"Kunstmatig substraat";"KS"
"85";"Litoraal";"LM"
"80";"Lucht";"LT"
"31";"Lozingswater";"LW"
"99";"Niet van toepassing";"NT"
"60";"Organisme (biota)";"OE"
"107";"Onderhoudspad (maaipad)";"OP"
"100";"Oever";"OR"
"10";"Oppervlaktewater";"OW"
"86";"Profundaal";"PM"
"20";"Poriewater";"PW"
"71";"Steen";"SN"
"105";"Siliconenrubber";"SR"
"106";"Talud";"TD"
"65";"Vegetatie";"VE"
"55";"Zuiveringsslib";"ZB"
"43";"Zand";"ZD"
"50";"Zwevende stof";"ZS"
"108";"Zwembadwater";"ZW"
