"Code";"Omschrijving"
"BD";"Bloed"
"DB";"Dijbeen"
"DI";"Dierlijk weefsel"
"DM";"Darm"
"DR";"Dooier"
"EO";"Embryo"
"EP";"Ellepijp"
"ES";"Eierschaal"
"EV";"Eivlies"
"FT";"Filet"
"GL";"Gal"
"HB";"Handwortelbeen"
"HN";"Hersenen"
"HT";"Hart"
"KP";"Kop"
"LC";"Levercel"
"LR";"Lever"
"MG";"Maag"
"NR";"Nier"
"OB";"Opperarmbeen"
"OG";"Oog"
"PA";"Plasma"
"SB";"Scheenbeen"
"SF";"Struif"
"SL";"Snavel"
"SP";"Schelp"
"ST";"Staart"
"SW";"Spierweefsel"
"T4";"genetisch gemodificeerde T47D-cellijn"
"VN";"Vin"
"VS";"Vlees"
"Vl";"Vleugel"
