"Naaldwijk, Walcheren",klei,0.0,1.5
"Naaldwijk, Wormer en Zandvoort",klei,1.5,3.5
"Naaldwijk, Wormer en Zandvoort","klei zandig, leem, kleiig fijn zand",3.5,4.0
"Naaldwijk, Wormer en Zandvoort",klei,4.0,5.0
"Naaldwijk, Wormer en Zandvoort",zand matig grof,5.0,5.5
"Naaldwijk, Wormer en Zandvoort","klei zandig, leem, kleiig fijn zand",5.5,12.0
"Naaldwijk, Wormer en Zandvoort",zand fijn,12.0,18.0
"Naaldwijk, Wormer en Zandvoort","klei zandig, leem, kleiig fijn zand",18.0,19.5
Boxtel,zand fijn,19.5,21.0
Eem,"klei zandig, leem, kleiig fijn zand",21.0,21.5
Eem,zand fijn,21.5,25.0
Eem,"klei zandig, leem, kleiig fijn zand",25.0,25.5
Eem,zand fijn,25.5,26.0
Peize en Waalre,"klei zandig, leem, kleiig fijn zand",26.0,27.0
Peize en Waalre,zand matig grof,27.0,28.5
Oosterhout,"klei zandig, leem, kleiig fijn zand",28.5,31.0
Oosterhout,klei,31.0,31.5
Oosterhout,zand fijn,31.5,32.0
Oosterhout,zand matig grof,32.0,36.0
Oosterhout,"klei zandig, leem, kleiig fijn zand",36.0,39.0
Oosterhout,zand grof,39.0,40.5
Oosterhout,zand matig grof,40.5,41.5
Oosterhout,zand fijn,41.5,42.0
Oosterhout,zand matig grof,42.0,45.5
Oosterhout,zand fijn,45.5,47.0
Oosterhout,zand matig grof,47.0,48.0
Breda,zand matig grof,48.0,50.0
