platform_id;platform_name;lon;lat;wgs_84;epsg;x;y;z;x.upper;x.mean;x.lower
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-2;0.06006889;0.05529600;0.05052311
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-2;0.06860954;0.06353543;0.05846133
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-2;0.07615153;0.07018110;0.06421067
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-2;0.06412544;0.05900800;0.05389056
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-2;0.04659695;0.04278571;0.03897448
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-2;0.06661914;0.05876699;0.05091484
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-2;0.07151857;0.06619531;0.06087206
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-1;0.02044077;0.01917071;0.01790066
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-1;0.02132610;0.01987417;0.01842224
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-1;0.03280571;0.02646903;0.02013234
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-1;0.02831780;0.02590909;0.02350038
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-1;0.01650874;0.01537403;0.01423932
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-1;0.03276809;0.02999929;0.02723049
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-1;0.04105369;0.03809709;0.03514048
